State,City,Lat,Lon,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20
CA,Valencia,34.456133,-118.571638,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1-4
CA,Gramercy Place,33.890605,-118.313509,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,6
CA,Lafayette Square,34.043054,-118.331987,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1-4
CA,Vermont Square,34.003673,-118.300288,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,5
CA,Lakeview Terrace,34.276339,-118.360458,0,0,0,0,0,0,0,0,0,0,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CA,Green Meadows,33.955517,-118.269355,0,0,0,0,0,0,0,0,0,0,1,1,1,1,7,8,8,9
CA,Victoria Park,34.046987,-118.331398,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,6,7
CA,Artesia,33.865825,-118.082333,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1-4
CA,Playa Del Rey,33.956153,-118.441992,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1-4
CA,Lennox,33.938169,-118.352684,0,0,0,0,0,0,0,0,0,0,1,1,5,7,8,8,9,10
CA,West LA,34.041101,-118.442528,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,11
CA,East Whittier,33.924579,-117.988325,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1-4
CA,Rancho Park,34.045474,-118.420531,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5
CA,Hawaiian Gardens,33.831459,-118.072033,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1-4
CA,Reseda Ranch,34.216002,-118.535589,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1-4
CA,Reynier Village,34.036741,-118.385549,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1-4
CA,Rolling Hills Estates,33.787264,-118.358821,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,5
CA,Manchester Square,33.899603,-118.297765,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1-4
CA,Mandeville Canyon,34.096502,-118.502341,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1-4
CA,Wiseburn,33.917985,-118.384138,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1-4
CA,Malibu,34.026037,-118.780997,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,7
CA,Silverlake,34.087185,-118.270602,0,0,0,0,0,0,0,0,0,0,0,14,#N/A,#N/A,#N/A,25,25,38
CA,Bel Air,34.100202,-118.459275,0,0,0,0,0,0,0,0,0,0,0,8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CA,Huntington Park,33.981671,-118.225173,0,0,0,0,0,0,0,0,0,0,0,2,2,4,11,13,15,16
CA,Rosemead,34.080419,-118.073798,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,5
CA,El Sereno,34.073651,-118.178684,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,4,9,12
CA,Atwater Village,34.11741,-118.261499,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1-4
CA,Lake View Terrace,34.276347,-118.361147,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,6,8,9
CA,Palisades Highlands,34.045633,-118.551646,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1-4
CA,Ladera Heights,33.987768,-118.370325,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,6,7
CA,Quartz Hill,34.645567,-118.217928,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1-4
CA,Rancho Dominguez,33.850763,-118.224939,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1-4
CA,Little Tokyo,34.052425,-118.239815,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1-4
CA,View Heights,33.984464,-118.347686,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1-4
CA,El Monte,34.068456,-118.028846,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,7,10
